P,K,temperature,humidity,ph,rainfall,temperature_min,phenological_stage,leaf_area_index,spad_value,GDD,Cumulative_GDD,Phenological_Stage_Num,Normalized_SPAD,Growth_Stage,Leaf_Age,Fertilizer_Type,Irrigation_mm,Crop_Yield_g_per_plant,Plant_Variety,Epigenetic_Markers,Soil_Nitrogen
42,43,20.87974371,82.00274423,6.502985292,202.9355362,18.76500454,Germination,4.906221893,25.85985133,9.822374127,9.822374127,0,-1.015649596,15.72859602,1,Urea,20,87.5,Variety_A,83.55506077,44.7375428
58,41,21.77046169,80.31964408,7.038096361,226.6555374,18.03793545,Germination,2.040302646,38.87452099,9.904198572,19.7265727,0,0.52981967,23.76687534,1,DAP,20,92,Variety_A,85.49086453,67.25292131
55,44,23.00445915,82.3207629,7.840207144,263.9642476,19.77469972,Flowering,2.847603541,21.19969381,11.38957943,31.11615213,3,-1.623814449,39.96375567,4,DAP,20,79.5,Variety_A,85.2662894,36.67547029
35,40,26.49109635,80.15836264,6.980400905,242.8640342,23.10783608,Flowering,2.880327559,32.66683849,14.79946622,45.91561835,3,-0.28925091,55.79594591,4,Urea,20,74.5,Variety_A,81.2638604,56.51363059
42,42,20.13017482,81.60487287,7.628472891,262.7173405,16.65052612,Germination,3.822809561,41.28042413,8.39035047,54.30596882,0,0.815516462,63.12877838,1,DAP,20,81,Variety_A,82.2315901,71.41513374
37,42,23.05804872,83.37011772,7.073453503,251.0549998,21.31660699,Maturity,3.723104762,30.10912077,12.18732786,66.49329668,4,-0.593210975,80.21640144,5,DAP,20,74,Variety_A,82.05235045,52.08877893
55,38,22.70883798,82.63941394,5.70080568,271.3248604,18.45822416,Tillering,2.766343173,26.65643378,10.58353107,77.07682775,1,-0.959350335,87.84317092,2,NPK,20,81,Variety_A,83.12372557,46.11563044
53,40,20.27774362,82.89408619,5.718627178,241.9741949,16.53571108,Maturity,1.611605509,35.16637365,8.406727349,85.4835551,4,0.009505646,99.0951606,5,NPK,20,93.5,Variety_A,84.98931685,60.83782641
54,38,24.51588066,83.5352163,6.685346424,230.4462359,22.72951351,Maturity,2.101867292,44.76579523,13.62269708,99.10625218,4,1.153551845,114.2081195,5,Urea,20,90.5,Variety_A,86.68516827,77.44482575
58,38,23.22397386,83.03322691,6.336253525,221.2091958,18.88842803,Germination,4.53105728,39.9425446,11.05620094,110.1624531,0,0.656645606,124.6935104,1,Urea,20,82,Variety_A,84.40795511,69.10060216
53,40,26.52723513,81.41753846,5.386167788,264.6148697,24.3252618,Tillering,2.136135678,42.02870907,15.42624847,125.5887016,1,0.725406277,139.7248373,2,NPK,20,92,Variety_A,86.25136395,72.70966669
46,42,23.97898217,81.45061596,7.50283396,250.0832336,21.47711729,Tillering,3.391425004,20.75354958,12.72804973,138.3167513,1,-1.606289256,154.7081763,2,DAP,20,89,Variety_A,85.61860122,35.90364077
58,44,26.80079604,80.88684822,5.108681786,284.4364567,24.22392945,Flowering,4.930328178,35.64825509,15.51236274,153.8291141,3,0.057730837,174.7594422,4,NPK,20,90,Variety_A,86.8289516,61.67148131
56,36,24.01497622,82.05687182,6.98435366,185.2773389,22.0282145,Maturity,2.557076631,38.06934557,13.02159536,166.8507094,4,0.355477948,187.4077861,5,Urea,20,92.5,Variety_A,86.12503859,65.85996784
50,37,25.66585205,80.66385045,6.94801983,209.5869708,22.14024958,Germination,3.58713336,36.20069685,13.90305081,180.7537602,0,0.212307729,199.3408936,1,Urea,20,90.5,Variety_A,85.26707794,62.62720555
48,39,24.28209415,80.30025587,7.042299069,231.0863347,23.18345423,Maturity,2.333959931,20.10301681,13.73277419,194.4865344,4,-1.785725035,216.8204944,5,DAP,20,73.5,Variety_A,81.38834504,34.77821908
38,41,21.58711777,82.7883708,6.249050656,276.6552459,18.01103388,Maturity,4.741651326,25.45289817,9.799075826,204.2856103,4,-1.148133344,230.0272616,5,Urea,20,82,Variety_A,82.1784629,44.03351383
35,39,23.79391957,80.41817957,6.970859754,206.2611855,19.54553045,Panicle Initiation,2.250349655,29.36523437,11.66972501,215.9553353,2,-0.685990453,238.2056849,3,Urea,20,82.5,Variety_A,81.70917347,50.80185546
38,36,21.8652524,80.1923008,5.953933276,224.5550169,19.54289872,Tillering,1.772418198,33.71725111,10.70407556,226.6594108,1,-0.185505315,248.431829,2,NPK,20,75.5,Variety_A,78.51461133,58.33084442
35,40,23.57943626,83.58760316,5.85393208,291.2986618,18.76275936,Flowering,1.245888315,34.29192609,11.17109781,237.8305086,3,-0.100120772,262.076397,4,NPK,20,81.5,Variety_A,82.53793533,59.32503214
45,36,21.32504158,80.47476396,6.442475375,185.4974732,19.74221451,Germination,2.187967902,47.65672968,10.53362805,248.3641367,0,1.572691597,271.5521046,1,Urea,20,85,Variety_A,81.33288384,82.44614235
40,43,25.15745531,83.11713476,5.070175667,231.3843163,21.23511744,Maturity,1.934565338,47.85267242,13.19628637,261.5604231,4,1.521441731,289.4949884,5,NPK,20,79.5,Variety_A,83.1636549,82.78512329
59,41,21.94766735,80.97384195,6.012632591,213.3560921,18.35839368,Flowering,3.155008971,44.71332692,10.15303051,271.7134536,3,1.112737526,300.8684625,4,Urea,20,83.5,Variety_A,83.67356747,77.35405557
41,43,21.0525355,82.67839517,6.254028451,233.1075816,19.25062439,Maturity,2.667868941,24.63820679,10.15157995,281.8650335,4,-1.245227171,312.5329025,5,Urea,20,83.5,Variety_A,82.91262886,42.62409775
47,37,23.48381344,81.33265073,7.375482851,224.0581164,21.78482733,Tillering,2.368699002,29.43258702,12.63432039,294.4993539,1,-0.655092024,322.8680529,2,DAP,20,91,Variety_A,84.78514045,50.91837554
53,41,25.0756354,80.52389148,7.778915154,257.0038865,20.42212554,Panicle Initiation,4.462021576,49.39263065,12.74888047,307.2482344,2,1.698964891,339.7102559,3,DAP,20,80,Variety_A,84.45954899,85.44925102
59,43,26.35927159,84.04403589,6.286500176,271.3586137,24.4910621,Flowering,2.835520238,41.41090266,15.42516685,322.6734012,3,0.728396425,355.5089215,4,Urea,20,99.5,Variety_A,90.73762669,71.6408616
50,41,24.52922681,80.54498576,7.070959995,260.2634026,20.40473187,Maturity,3.946739309,41.26352714,12.46697934,335.1403806,4,0.736156227,371.0871199,5,DAP,20,94,Variety_A,86.3267596,71.38590195
49,44,20.77576147,84.49774397,6.244841491,240.0810647,19.52496665,Maturity,4.492843239,41.73694892,10.15036406,345.2907446,4,0.792578,382.7835879,5,Urea,20,76.5,Variety_A,83.30608147,72.20492163
51,35,22.30157427,80.64416466,6.043304899,197.9791215,18.84623103,Tillering,3.01014278,30.26841761,10.57390265,355.8646473,1,-0.563487424,389.87479,2,Urea,20,85,Variety_A,81.96869498,52.36436247
57,41,21.44653958,84.94375962,5.824709117,272.2017204,19.83280501,Flowering,1.463576858,25.58506278,10.63967229,366.5043196,3,-1.113438615,401.9678964,4,NPK,20,85.5,Variety_A,85.54532111,44.26215861
